id,code_prefix_start,name,name@pt
chart_group_62512433,62512433,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - GPL ou GNV,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - GPL ou GNV
chart_group_62512434,62512434,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - GPL ou GNV,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - GPL ou GNV
chart_group_6251244,6251244,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - Energia Elétrica,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - Energia Elétrica
chart_group_62512441,62512441,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - Energia Elétrica,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - Energia Elétrica
chart_group_62512442,62512442,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - Energia Elétrica,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - Energia Elétrica
chart_group_62513,62513,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPM
chart_group_625133,625133,Deslocações e Estadas - Mercado Extracomunitário - Compens. util. viatura própria (km pagos),Deslocações e Estadas - Mercado Extracomunitário - Compens. util. viatura própria (km pagos)
chart_group_6251331,6251331,Deslocações e Estadas - Mercado Extracomunitário - Compens. util. viatura própria (km pagos),Deslocações e Estadas - Mercado Extracomunitário - Compens. util. viatura própria (km pagos)
chart_group_6251332,6251332,Deslocações e Estadas - Mercado Extracomunitário - Compens. util. viatura própria (km pagos),Deslocações e Estadas - Mercado Extracomunitário - Compens. util. viatura própria (km pagos)
chart_group_625134,625134,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPM
chart_group_6251341,6251341,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPM
chart_group_62513411,62513411,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPM
chart_group_62513412,62513412,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPM
chart_group_62513413,62513413,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPM
chart_group_62513414,62513414,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPM
chart_group_6251342,6251342,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPHP,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPHP
chart_group_62513421,62513421,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPHP,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPHP
chart_group_62513422,62513422,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPHP,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPHP
chart_group_62513423,62513423,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPHP,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPHP
chart_group_62513424,62513424,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPHP,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - VLPHP
chart_group_6251343,6251343,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - GPL ou GNV,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - GPL ou GNV
chart_group_62513431,62513431,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - GPL ou GNV,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - GPL ou GNV
chart_group_62513432,62513432,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - GPL ou GNV,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - GPL ou GNV
chart_group_62513433,62513433,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - GPL ou GNV,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - GPL ou GNV
chart_group_62513434,62513434,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - GPL ou GNV,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - GPL ou GNV
chart_group_6251344,6251344,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - Energia Elétrica,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - Energia Elétrica
chart_group_62513441,62513441,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - Energia Elétrica,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - Energia Elétrica
chart_group_62513442,62513442,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - Energia Elétrica,Deslocações e Estadas - Mercado Extracomunitário - Portagens e Estacionamentos - Energia Elétrica
chart_group_6252,6252,Transporte de Pessoal,Transporte de Pessoal
chart_group_6253,6253,Transporte de Mercadorias,Transporte de Mercadorias
chart_group_6258,6258,"Outras Deslocações, Estadas e Transportes","Outras Deslocações, Estadas e Transportes"
chart_group_626,626,Miscellaneous services,Serviços diversos
chart_group_6261,6261,Rendas e Alugueres - Mercado Nacional - Viaturas - LPM,Rendas e Alugueres - Mercado Nacional - Viaturas - LPM
chart_group_62611,62611,Rendas e Alugueres - Mercado Nacional - Viaturas - LPM,Rendas e Alugueres - Mercado Nacional - Viaturas - LPM
chart_group_626111,626111,Rendas e Alugueres - Mercado Nacional - Viaturas - LPM,Rendas e Alugueres - Mercado Nacional - Viaturas - LPM
chart_group_6261111,6261111,Rendas e Alugueres - Mercado Nacional - Viaturas - LPM,Rendas e Alugueres - Mercado Nacional - Viaturas - LPM
